Samle.Names,groups
WT_0_01,WT_0
WT_0_02,WT_0
CP_0_04,CP_0
CP_0_05,CP_0
WT_05_07,WT_05
WT_05_08,WT_05
CP_05_11,CP_05
CP_05_12,CP_05
WT_1_13,WT_1
WT_1_14,WT_1
CP_1_16,CP_1
CP_1_17,CP_1
WT_2_20,WT_2
WT_2_25,WT_2
CP_2_22,CP_2
CP_2_23,CP_2
WT_4_16,WT_4
CP_4_28,CP_4
