Gene_ID,WT_0_01,WT_0_02,CP_0_04,CP_0_05,WT_05_07,WT_05_08,CP_05_11,CP_05_12,WT_1_13,WT_1_14,CP_1_16,CP_1_17,WT_2_20,CP_2_22,CP_2_23,WT_2_25,WT_4_16,CP_4_28
comX1,810,781,427,407,613,675,406,332,4290,1088,4976,3028,35199,39235,30236,57647,23049,71199
dnaA,8325,7697,4178,4139,24158,22577,30535,26411,9422,10145,16718,19934,11535,10586,11883,5998,2701,8201
dnaN,13511,11981,6816,6136,51622,52352,65574,52143,22272,24172,42116,49008,25814,23378,24399,9769,4842,13423
SPD_0003,1040,1020,609,585,2700,2496,2807,2724,1624,1395,2170,2539,1598,1448,1485,557,355,1051
ychF,33854,29745,18169,16692,39238,35754,38623,36901,22768,20585,16930,20884,19683,16420,16127,18198,8450,19702
pth,4713,3777,4035,3491,2444,2535,2023,1934,3089,3142,2174,2773,3267,1873,2209,3716,1826,3107
mfd,29335,21453,23671,20471,6260,6016,5217,5162,11354,11529,6931,9543,11939,5734,6553,13824,7203,12084
SPD_0007,4728,3613,3317,2981,1609,1594,1336,922,1735,1775,1004,1087,1572,1615,1201,2291,1173,2389
SPD_0008,8047,6614,5334,5160,3410,3236,2504,2076,3083,2655,1406,1807,2750,2508,2602,3726,1762,4127
SPD_0009,1654,1355,1306,1264,695,702,521,392,658,722,384,434,777,617,459,898,412,872
SPD_0010,38270,28754,25840,22852,12284,11466,8433,6557,12213,11769,5355,7164,10726,8847,8615,16829,7919,15990
tilS,42306,32034,26642,22906,6154,6310,5004,4053,7497,7642,4130,5482,7576,5564,5310,9544,5008,10074
hpt,78409,65088,56604,50852,25831,25321,28821,21756,17809,17324,12133,15652,17202,15120,12279,23539,11603,22013
ftsH,292828,263617,197018,189829,137546,125427,149691,155583,85205,75830,55429,67854,66562,47862,47828,86840,38704,88310
tRNA-Glu-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rrsA,6247,6214,2180,2175,15924,2933,9450,18684,3057,9647,1649,3150,11303,6392,2789,3307,1107,21193
tRNA-Ala-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rrlA,14174,16534,5771,5470,43604,8757,21903,42808,5856,30554,4902,8541,25013,16685,8576,7577,2937,36954
rrfA,30,31,31,42,48,29,18,9,26,147,15,15,33,102,18,63,30,54
tRNA-Asn-1,50,49,33,18,1,1,1,0,0,0,0,0,4,9,6,5,0,5
SPD_0021,813,722,428,434,1252,1114,1735,1748,677,639,1075,1096,596,1135,907,737,310,1070
SPD_0022,3138,2677,872,842,288,222,229,233,301,211,206,234,431,326,404,306,300,685
comW,1112,928,314,297,947,866,1181,1326,3233,1233,6952,4597,25147,54541,32701,52919,25138,58335
purA,28352,25101,48430,47226,80821,66952,91306,115202,47307,34303,48044,48317,110963,162575,170033,128920,54420,239443
ccnC,3171,1953,6007,5131,6228,6839,9389,6794,3970,3317,4269,5336,10026,13505,11427,10740,4249,16127
SPD_0025,843,773,416,460,544,477,926,1078,315,322,469,347,320,344,358,250,172,427
scRNA,127,104,115,136,19,28,39,57,20,34,12,22,25,17,17,12,6,22
dut,3223,2873,1576,1615,959,717,963,1236,665,464,540,533,1400,1714,1721,671,337,928
SPD_0028,7131,6181,3103,3375,2442,1831,2437,3002,1271,1067,1246,1246,3796,4460,4364,1505,669,2332
radA,13888,13300,4817,5596,4647,3549,4485,7421,2852,1993,2673,2420,9623,10926,12687,3465,1224,5714
SPD_0030,8407,7574,3919,3785,18171,15622,26316,33595,11268,8706,9956,11547,14586,14784,14964,11927,5566,13705
SPD_0031,12790,10502,7346,6992,22607,20288,31595,36043,15331,13564,14126,16730,18587,18688,17031,14759,7382,14939
SPD_0032,1910,1411,945,765,1955,1853,2996,3306,1426,1399,1207,1726,1757,2084,1638,1484,678,1445
prs1,34297,27859,28225,27891,24658,21316,16592,19007,23306,18217,9893,10764,20260,22788,21226,36218,17309,47378
SPD_0034,26,47,27,27,18,37,31,24,28,43,22,34,136,227,146,91,27,125
SPD_0035,281,237,108,96,386,278,408,496,304,178,478,291,2028,3824,4171,625,226,2507
SPD_0036,122,91,38,53,156,153,193,230,132,84,193,116,998,1849,1925,372,111,1148
SPD_0037,682,545,338,326,1183,1008,1256,1157,1074,559,1593,1311,8730,14619,14792,2900,933,8361
SPD_0038,42029,37230,31409,31302,50140,39615,44046,57928,28640,22551,20471,22916,18012,18234,21810,18887,8435,28818
SPD_0039,3872,3562,3238,3423,13052,11209,14103,15407,4218,3464,4985,5422,4273,3587,3671,3073,1406,4440
SPD_0040,28631,26487,24768,23948,20934,23174,35880,33540,13646,11864,17323,16387,8990,12240,15006,8784,3534,13907
araT,6484,7261,4852,5063,23711,17318,32539,49311,8179,7283,12583,14596,7658,8245,10147,4232,1961,7892
recO,4754,4896,3811,4219,14080,11295,18338,24243,5318,5260,7749,9210,4874,4766,6203,2496,1040,4342
plsX,5241,5962,3775,3974,12306,8906,14505,23538,4739,3925,5934,6716,3775,3755,5320,1715,726,3881
SPD_0044,1582,1431,1236,1218,3404,2749,4010,4296,1363,1445,1994,2444,1264,1325,1299,504,296,1000
SPD_0045,2173,2047,1387,1579,4234,3535,5374,5373,1725,1582,2294,2912,1513,1584,1771,690,244,1252
blpK,2377,2339,2314,2455,4000,3457,5152,5504,1664,1686,2720,2819,2515,3346,2699,3721,1686,3404
SPD_0047,707,546,751,678,853,838,1163,923,340,386,817,923,675,1046,934,1533,750,1138
SN2,8292,6760,9606,9198,9868,11266,17285,10220,5338,5854,9424,11263,12447,23235,17277,30639,13689,19724
SPD_0048,10,11,39,39,16,13,16,20,16,9,4,6,19,31,22,24,16,29
comA,1495,1396,1110,1274,3467,2617,4250,6793,9653,3009,17061,11893,61844,91469,106810,68687,27405,162686
comB,896,857,717,675,1599,1177,2137,3166,4186,1385,9447,6613,35556,33351,43355,21909,9561,59499
purC,804,632,13061,12783,1077,823,445,359,6161,5501,223,328,4915,603,810,24768,9962,7797
SPD_0052,17679,15810,181021,180197,5147,3483,5233,6399,55987,44114,2091,3029,36210,4246,6860,103218,41851,46247
purF,12651,12004,105714,103668,1474,1102,2414,2989,24253,19965,1016,1415,14034,1849,2530,34069,14522,15282
purM,8726,9067,75104,75802,892,626,1600,2170,14411,12108,561,777,8118,1045,1421,20389,8749,9185
purN,6364,6050,51010,51563,455,324,973,1220,9097,7746,355,519,5154,587,921,12936,5902,5551
vanZ,10526,8575,103837,88053,1476,1389,2658,2128,14854,15578,1176,1526,9832,1481,1460,25634,13037,8613
purH,20802,21540,156651,164352,3744,2584,6287,10020,28591,23912,1922,2558,15913,2197,2978,39048,17259,18455
purD,4409,4236,17732,18441,7654,5591,5790,7341,10630,9450,2089,2553,8965,3247,3980,15265,6365,9809
purE,2326,2397,8021,8207,2485,1826,2401,2728,3891,3257,646,725,3071,1104,1583,4168,1496,3212
purK,8010,7637,22763,24058,5156,3802,5041,5758,10457,8416,1553,1760,7944,3404,4729,9160,3720,8852
SPD_0061,7605,6556,12922,12972,4452,3997,5258,4387,5502,4926,1898,2219,4030,2906,3010,4906,2286,5022
purB,38210,36967,71420,73828,28796,22363,28661,37583,36668,30048,11315,12844,24183,15001,18675,28840,11936,29265
strH,2950,2612,2032,1954,2265,2042,1621,1511,1500,1290,804,827,3698,3696,4937,11094,5435,18498
SPD_0064,104131,91499,76602,72919,145038,139821,167761,137240,76810,78923,74017,79600,58545,67527,65363,78696,35843,88692
bgaC,1522,1227,742,627,292,224,310,382,170,150,121,117,164,120,170,288,181,477
SPD_0066,318,260,113,138,118,106,108,130,69,53,41,57,65,33,54,74,22,94
SPD_0067,415,337,126,148,277,202,270,377,157,102,99,83,91,63,111,110,30,130
SPD_0068,526,435,285,221,373,350,376,441,200,154,152,170,135,102,112,113,90,149
SPD_0069,198,173,69,87,196,131,185,245,98,63,67,60,72,46,52,64,45,65
agaS,710,657,349,287,656,522,552,759,340,317,225,259,189,159,181,192,58,200
galM,404,390,171,149,164,134,141,224,114,79,80,59,173,155,252,110,46,116
SPD_0072,170,148,79,67,1662,1247,1698,2161,572,525,538,703,436,320,417,294,142,433
SPD_0073,534,543,193,202,1876,1744,2191,1724,917,987,794,1052,742,610,660,664,388,820
SPD_0074,3654,3626,1802,2051,28304,20567,27239,51872,13044,11267,13837,14724,13638,11663,14227,6697,3219,12333
SPD_0075,1590,1217,768,886,10013,7837,9317,11200,4963,4621,5196,5940,5109,4431,5252,2389,968,3967
trkH,44485,39658,25721,26034,68539,55132,73788,94937,34954,31016,38319,41395,30123,32807,37014,19133,8628,30881
SPD_0077,31247,27685,17452,17999,32095,26570,34631,44696,16953,13728,15773,18272,12849,13357,16290,7862,3391,13792
SPD_0078,8928,8011,3999,4134,5894,4532,6390,9201,3561,2825,3210,3427,2911,3327,3627,3084,1564,5537
SPD_0079,8034,6758,3344,3756,4725,3911,5514,7209,2825,2169,2393,3001,2530,2471,2867,2404,1028,3937
SPD_0080,4059,3186,1323,1416,576,492,683,791,423,361,432,558,431,484,544,400,145,894
SPD_0081,7398,5983,5629,5573,8545,7056,10090,10022,3995,3045,2859,3672,3424,2859,3159,3994,1624,4725
SPD_0082,12743,11535,11331,11462,16194,12796,15059,18606,7534,5842,5069,5734,5698,4192,4700,6475,2987,7209
rpsD,141418,135599,74425,76756,56687,46197,23802,30050,94978,70715,10584,12778,78060,53561,63865,90558,41045,137102
F1,145,138,61,82,21,12,1,9,41,32,6,7,52,15,27,21,19,42
SPD_0084,638,442,492,543,1271,1100,1646,1173,754,674,951,1183,415,772,695,338,109,882
SPD_0085,2,6,7,2,7,8,8,5,29,15,4,19,13,13,3,21,1,17
SPD_0086,3929,3473,2808,2986,8795,7273,11120,11975,4475,3946,5732,7073,2890,4708,5318,1820,921,5771
SPD_0087,2542,2043,1901,1829,5167,4628,7056,5885,2393,2356,3801,4753,1801,2945,3118,1210,699,3315
SPD_0088,264,221,189,216,93,81,102,109,53,51,51,65,29,46,56,41,48,46
SPD_0089,246,203,180,198,109,113,136,152,54,23,75,66,40,69,75,27,24,55
SPD_0090,327,283,355,390,431,386,561,579,247,225,397,398,207,323,262,171,110,183
SPD_0091,61016,60871,32239,31838,117974,104374,158215,187019,61986,46461,43956,54436,60749,39052,51571,86316,36382,105737
SPD_0092,2377,2169,1404,1237,1986,1683,2209,2495,1106,992,850,1103,2865,2248,2718,11583,5274,18919
SPD_0093,18287,15602,7995,8058,12525,12462,22339,20581,4618,4799,10607,11713,5475,6058,6192,3991,1749,4186
SPD_0094,13337,10949,5352,5256,5235,5151,9963,9070,2157,2274,4371,4885,2517,2265,2576,2550,1212,2292
SPD_0095,5234,5082,1998,2009,1806,1641,2920,3386,666,623,1142,1396,901,903,1024,1065,490,1086
SPD_0096,2717,2133,1158,1126,575,575,914,791,304,381,476,442,342,370,437,578,228,521
SPD_0097,3242,2956,974,1058,2588,2524,4117,4312,1712,1544,1694,1875,1681,1679,2293,1163,529,2077
SPD_0098,26821,21261,15052,13543,15518,14369,15786,15116,13224,11150,10754,12675,13865,19638,17288,16408,7826,25820
capD,52529,45240,26036,25987,28184,22936,22472,29605,18248,14563,11734,13980,14857,14717,16203,15233,7202,23790
SPD_0100,130,96,69,58,10,11,8,15,39,10,7,10,47,71,60,37,32,95
SPD_0101,6482,5940,5329,5453,11373,9518,18448,19841,4761,4104,5594,6383,3768,3203,4151,4223,1792,5476
sdhA,3327,3409,2381,2482,6579,5388,9986,13986,2504,1928,2832,3076,2148,1733,2514,2459,1006,3910
sdhB,2725,2476,1852,1750,5523,4886,9077,8726,2217,1837,2532,3112,2084,1821,2612,2450,1256,3692
SPD_0104,57975,62405,26061,26595,360527,367163,666192,587975,90420,83965,91890,115286,103357,70773,68636,36868,16927,55397
SPD_0105,110,76,36,34,41,43,54,45,31,19,61,48,21,48,64,24,9,39
SPD_0106,4569,3569,2614,2695,17479,16951,34807,33662,7810,6758,20527,25496,14862,15813,13457,4812,2293,10284
SPD_0107,17716,14461,7730,7573,22983,19346,31249,33342,10993,9752,19038,21757,12406,14678,13972,5894,2566,13315
SPD_0108,5279,4584,1993,1956,8842,7484,10288,12150,4125,3448,6769,8094,4224,4759,4917,953,477,3172
SPD_0109,461,369,222,224,673,559,1168,1015,655,598,938,1104,537,610,584,275,131,400
argG,942,858,449,465,1555,1244,2580,3054,1364,1266,1915,2030,1159,1122,1488,511,252,897
argH,2019,1715,1147,1208,2786,2404,4198,5465,2504,2425,3737,4267,2075,2422,2657,939,408,1603
SPD_0112,577,468,383,347,1913,1979,1508,1200,1586,1414,1048,1140,1255,928,998,1274,591,947
SPD_0113,160148,135913,119431,111265,394351,345631,315955,303773,258757,242332,185740,229067,268003,175245,168121,168247,87957,116267
SPD_0114,18531,15237,14887,14144,41259,36747,32539,29727,27596,27004,18915,24974,28456,18387,17027,15177,7818,10490
SPD_0115,55333,47898,49495,46324,122050,107766,100151,90759,77705,78366,62593,76353,77742,51537,46320,36107,19127,25996
SPD_0116,19419,17576,23354,22941,46321,36654,35755,36564,48031,43623,27245,33086,45655,25193,20770,21754,10299,12062
SPD_0117,3266,2779,4071,3928,35241,27930,47555,50415,17861,17314,28528,33020,18114,19127,17441,8310,4074,9516
SPD_0118,1481,1209,1642,1761,6073,4604,7273,7821,4451,3879,5328,6327,3522,4015,4282,1803,804,2092
SPD_0119,10955,8090,13613,12633,34638,29631,40657,34963,27956,26342,38196,45573,23533,26256,24908,11459,5436,12776
SPD_0120,9258,7082,11660,10074,24827,20895,28574,23569,20377,19091,27871,33089,16537,18435,19240,7737,3356,9053
SPD_0121,3555,2718,4044,3977,7776,6267,7183,8305,7276,6109,7688,8808,4842,6247,5764,2488,1256,2973
SPD_0122,9954,7157,12220,10802,18262,15909,17286,15282,18781,16553,20740,25553,14118,14723,14897,6558,3432,7375
SPD_0123,2700,2102,3078,2932,4702,4119,4136,4420,4910,4634,4897,6080,3012,3833,3898,1746,841,1894
SPD_0124,7672,5123,7219,4602,11429,9165,10323,9554,10467,10854,12734,17116,9670,7410,8873,3935,1998,5279
F3,1667,1254,1759,1494,2050,1793,1747,1657,2518,2317,2376,2674,1452,1912,1804,982,525,934
SPD_0125,553,400,348,256,76,91,90,52,156,99,69,97,99,78,95,56,36,66
pspA,15701,15325,13244,12500,51583,48603,40901,42308,43411,43481,34742,37260,40367,36389,34276,39827,17555,43697
trn0052,900,721,732,551,2404,2896,2371,1713,2363,2475,2469,2987,2522,1644,1665,1757,838,1955
mnmA,17688,18039,6857,7039,10816,8338,8232,12126,6681,5416,4843,5260,6631,7830,8510,12012,5060,23158
sRNA37,195,199,86,83,122,107,92,87,60,54,105,78,52,124,71,110,71,140
SPD_0128,9525,8870,4202,4760,12849,9712,8516,10829,3226,2616,4623,5364,3369,5085,5817,2295,1078,6228
gidA,36418,36959,17228,18528,59028,44912,37650,57769,13029,10356,23119,27318,12225,16921,19446,7573,3554,22896
SPD_0130,83659,81317,48796,48440,115678,95617,140072,185553,57891,46407,53625,61457,48785,46574,64446,44514,19909,78980
SPD_0131,8314,8039,7109,6474,15752,16618,20606,17032,9308,9716,11930,13085,7829,10900,8055,11177,5068,13244
cibC,80,51,33,26,123,89,86,87,3620,394,14675,6081,317827,293773,276769,65488,22344,168461
cibB,20,8,6,7,22,23,22,25,939,114,3347,1177,52128,78245,52911,15076,5629,31243
cibA,56,34,30,22,61,43,51,35,2833,280,8569,3374,150600,218886,163545,44284,15618,94880
SPD_0134,3562,3185,1886,1836,4755,3936,5223,6629,2334,1745,1994,2107,1845,1742,1955,1981,910,3243
rimI,2596,2413,1437,1524,3329,2635,3702,5095,1574,1247,1312,1523,1336,1011,1360,1253,579,1936
gcp,7992,7961,4692,5213,8851,6815,9205,15118,4618,3371,3351,3597,3099,2849,3529,3662,1519,5883
F6,64,53,28,48,10,13,16,15,16,17,10,7,12,9,14,36,7,44
SPD_0137,66,69,35,62,34,35,40,51,58,19,50,56,61,155,170,68,16,358
SPD_0138,4028,3200,2108,1792,642,605,631,514,718,651,444,551,353,517,625,526,226,511
SPD_0139,2194,1636,1095,866,245,257,321,238,300,350,166,261,204,242,199,246,100,224
SPD_0140,4884,3720,2444,2295,1336,1299,1347,1152,1270,1240,1005,1304,758,965,881,1000,450,932
SPD_0141,48,27,30,24,2,3,5,2,4,11,1,2,2,3,13,3,8,9
SPD_0142,75,62,22,23,7,9,5,11,4,20,2,5,5,10,18,8,4,10
SPD_0143,94,86,31,34,33,29,31,17,51,35,19,24,39,34,48,33,20,34
sRNA14,156,123,115,126,129,169,229,94,163,127,171,145,71,213,124,149,52,199
SPD_0144,3446,3075,1462,1569,9284,7874,13272,13531,3330,3161,6039,7182,3544,3524,3778,2067,972,3960
SPD_0145,5282,4572,4423,4443,11252,9518,10010,10523,213955,206624,31302,29058,261875,351568,254942,279260,134535,377168
SPD_0146,12686,10504,9228,9273,20419,16450,16912,17576,385744,335982,53892,52883,443907,524185,503689,388550,191091,581794
SPD_0147,9547,7869,7454,7347,11564,9434,8040,8457,272482,246158,38105,34527,244769,345846,313346,243206,123328,358913
SPD_0148,19823,16992,14331,14755,22225,18623,14925,15295,550940,477910,66192,61867,479137,617297,660791,440676,206558,692863
SPD_0149,278,240,112,124,126,115,100,170,2651,2242,225,202,2566,3177,4374,2811,1339,5982
SPD_0150,26282,23458,17266,16588,61540,55085,48767,48604,31547,29180,17443,20276,30470,26032,29072,34273,16551,41642
SPD_0151,21913,18858,11541,11098,13072,12835,13308,13476,10526,9777,6298,7633,10457,8815,9343,13618,6281,14586
SPD_0152,4599,4407,2037,1981,3092,2460,2923,4411,2061,1822,1634,1854,2676,2279,2502,2052,1076,3778
SPD_0153,6241,6178,2959,3191,11868,8909,14229,19657,6383,5659,6959,8215,5363,5415,6530,3537,1617,6577
SPD_0154,3743,3866,1845,2153,7932,6494,9803,16111,4282,3862,5378,5832,3496,3715,3947,1936,984,3839
SPD_0155,1927,1725,651,687,1116,1053,569,492,891,834,248,321,766,512,684,1032,478,1231
SPD_0156,4247,3792,2497,2486,3274,2944,3607,4129,1507,1483,1834,1852,1236,1469,1610,1834,1111,2640
SPD_0157,11403,9650,5939,6142,7239,6122,7458,9036,3289,2781,3533,4133,2766,2790,3341,3368,1511,4928
SPD_0158,7882,7002,3719,3906,6613,5348,6498,7468,2682,2484,2714,3384,2189,1972,2447,1911,1000,3090
SPD_0159,86558,73116,60207,59473,94058,85821,85566,83123,50423,43338,40278,47473,43207,40495,38771,28600,13760,44905
SPD_0160,13204,11675,8156,7900,15255,12651,12735,13878,10072,8352,6824,7766,8194,9401,8041,7215,3419,9346
SPD_0161,3487,3196,1481,1557,55864,43931,41834,50602,22544,17651,23426,27966,16034,17631,23728,13038,4909,16454
SPD_0162,185,196,116,94,585,567,992,1092,312,322,455,432,339,373,380,418,165,687
SPD_0163,288,235,173,141,804,732,1128,1039,410,486,580,659,364,531,484,645,305,1072
SPD_0164,133,122,69,53,22,8,14,15,16,26,23,14,18,11,21,15,6,17
hexB/mutL,14473,13769,9883,10911,26236,20887,37827,51626,11699,9711,13573,15915,9279,10330,12509,7316,3561,14883
ribH,685,631,442,441,2262,1835,1703,1601,995,1057,1046,1159,690,699,618,790,442,1217
ribB,1908,1605,930,907,4569,4271,3578,3095,2354,2164,2317,2775,1310,1527,1591,1942,1376,3569
ribE,1216,943,612,656,2213,1986,1759,1399,1187,1244,1149,1409,650,949,950,1477,914,2614
ribD,2666,2225,1306,1270,3234,2840,2488,2255,2106,1961,1543,1952,1388,1885,1955,3984,2259,6356
sRNA63,132,106,96,76,171,168,146,82,149,138,111,140,80,218,103,309,158,355
ruvA,5386,5166,2179,2158,6728,5718,9487,11463,3563,2774,3380,3882,2631,3138,3597,2367,993,4044
tag,5122,5039,1948,2081,6453,4893,8174,12504,3367,2280,2783,3284,2421,2680,3522,1951,876,3867
SPD_0172,6695,5824,2965,2962,6612,5915,8585,8985,4019,3641,3849,4676,2905,3643,3736,3089,1421,4726
SPD_0173,6597,6220,2588,2669,27033,22551,42203,50089,12668,11397,18622,22365,16556,13724,15027,4843,2013,8234
SPD_0174,9158,9236,4783,4748,7262,7018,4789,4301,4409,3937,2572,2540,3314,3131,3514,4229,1765,5475
SPD_0175,14494,13557,7327,7101,8432,8452,6381,4928,5525,4864,2670,2833,5307,5538,6244,7947,3519,10690
uvrA,18084,17375,10601,12148,24440,17889,27596,44766,14294,10745,11950,13195,12132,9757,12908,11665,4982,19005
SPD_0177,11918,10555,7513,7903,13637,10682,13176,17409,8174,6876,6122,7259,7017,5212,6379,5511,2636,7909
spxA1,97595,90901,61843,59914,75002,84496,139241,96227,42358,43987,60831,72023,48884,56242,51097,41299,19032,59732
SPD_0179,28163,28317,16577,15977,19649,19597,28492,25897,11698,12785,17581,21650,19041,15322,15017,13364,6037,20985
SPD_0180,33703,30192,23398,22986,78270,65692,142296,138864,22559,21083,44373,56090,29034,31157,30427,17398,8194,28302
SPD_0181,42787,42414,28724,29135,112218,91527,196261,255951,30429,26257,58931,68783,35676,37454,42849,17806,8171,36995
SPD_0182,56737,51904,47483,45871,153613,139539,270748,250864,51385,47464,95823,118241,57674,62830,58410,36665,15780,51299
folC,32246,29518,20204,20910,30327,25604,53913,64509,10536,9051,18403,21211,10939,13632,15254,6670,3088,16414
SPD_0184,20278,19044,10302,10387,15983,13727,24593,28144,6837,5436,8281,10045,6396,6427,7784,4612,1911,8445
SPD_0185,6984,5959,3417,3377,22366,18932,27258,26938,10311,9845,12275,15130,9821,8021,8337,6213,2653,7946
SPD_2070,1370,1188,800,830,4630,3980,4905,4274,2488,2179,3151,3327,5646,9311,6233,2058,840,3637
SPD_0186,22079,18586,11586,11225,32987,26982,24438,30033,22941,18486,17269,17343,42280,53512,53051,23005,10563,38534
nrdD,13170,12477,10932,11586,101725,82610,45830,66270,43594,35541,84514,96776,26853,46481,54595,10652,4857,39139
SPD_0188,604,578,521,517,6149,5285,2661,3156,2413,2443,5654,6570,1389,2504,2156,519,212,1471
SPD_0189,1318,1131,820,913,6677,5770,3245,4488,3817,3252,8837,10131,2370,3587,4386,689,282,2426
nrdG,1426,1436,799,891,7335,5920,3563,5225,4081,3194,9252,10624,2548,4013,5107,564,284,2677
SPD_0191,1976,1991,1150,1255,9182,8055,4631,6444,5479,4684,12393,14637,3431,5212,6558,842,492,3386
rpsJ,121234,90321,79513,62638,23581,21613,5215,4916,51583,37042,13715,12169,47296,66309,60121,59400,26518,146041
rplC,169666,111738,113536,80396,34190,29170,7011,7561,70317,46749,18299,16370,66274,76476,76718,73569,32620,165409
rplD,123728,77551,74547,51878,22915,19532,5393,5950,46112,28442,14117,12441,40458,45609,49449,40392,16079,100708
rplW,62808,35904,38993,25361,11264,10021,2688,2349,23180,14721,8691,7158,19757,21001,22354,19447,7878,40971
rplB,169885,94212,86033,56736,30977,23936,7866,9648,59848,33452,21424,17808,45822,48546,55382,42271,15105,97471
rpsS,63925,35451,36093,21759,12332,10129,3463,3231,24025,14302,9445,7425,18509,18303,19063,16158,5572,30419
rplV,64605,33258,33948,19779,11005,9358,3434,3087,21976,12814,8674,6666,17272,15767,17422,14368,4569,27314
rpsC,114015,59134,56816,32334,19895,16107,7400,7441,41558,22189,15905,12245,28180,28804,31907,24245,7824,47577
rplP,80202,43335,38212,22343,14525,11228,6381,7159,29321,15893,11270,8244,18403,20863,23000,16647,5280,33055
rpmC,42899,20504,27423,13909,7980,7119,3890,2551,17910,11708,8543,6705,12694,14697,11606,12839,3892,16693
rpsQ,66376,29785,35029,17830,11984,10286,6213,4770,25896,15277,10715,8518,17867,18851,17806,16068,4964,25330
rplN,63286,33367,31187,18338,12177,9455,7076,7698,25798,13659,9851,7546,15533,17431,18183,14176,4440,24561
rplX,74919,36276,38629,20889,12698,11065,7808,6419,28408,15343,11494,8451,17000,20308,19135,16500,4838,26190
rplE,122605,60015,62392,34079,21194,17842,15179,13320,44797,26245,18512,14859,28714,32900,31150,27892,8551,42555
rpsN,50915,27209,23283,13341,9817,8115,9888,9191,18225,10781,7739,5897,10929,13014,13412,10896,2938,17807
rpsH,122531,62571,66348,37981,25654,21448,25609,21706,51858,32779,22699,18541,33775,37806,33262,31636,9471,41420
rplF,144651,78329,69626,41598,29990,24010,30414,28557,55958,33782,22537,18714,35378,36385,37496,31545,9780,45467
rplR,64585,39774,32235,20680,14949,12496,15171,16360,28707,18991,11862,9721,16338,20028,17927,16452,5581,24099
rpsE,82020,51176,38226,25294,20443,16332,21262,25864,37516,24142,13743,11736,20613,23170,23588,19359,6911,29755
rpmD,53215,30423,25298,16316,12685,11192,14958,12923,24127,16252,9239,8386,14820,15669,15149,12968,4447,18060
rplO,78640,45934,42738,27883,19561,15776,20708,21260,39798,26367,14667,13597,27238,28444,27185,22326,7736,32599
secY,245289,143703,127671,85871,61046,52394,75665,72471,122624,83283,46813,44847,80864,84477,86135,67953,26120,100354
adk,36515,27837,16960,15634,3432,2894,643,666,12380,9841,3006,3359,10600,7804,8402,8380,3632,10720
infA,157119,133524,83502,78256,50569,46930,33659,30328,64230,49212,27741,31149,52726,53977,50878,66084,30988,99427
rpsM,200170,174504,87181,82239,63083,53789,42627,50610,71824,51062,29436,35359,64396,56142,68824,68451,29758,124549
rpsK,146651,127241,61693,58251,43289,39296,29660,35641,50957,38965,23053,27281,45464,42385,50088,48736,21341,89576
rpoA,567917,471536,261669,242141,165521,146827,108747,120000,203754,166056,96476,117702,194261,172248,186618,186323,84823,295285
rplQ,246030,207972,106873,100575,66639,60948,44220,49935,80846,68371,39588,47420,78473,71004,76603,71581,31571,116560
SPD_0220,4737,3581,7479,6995,27090,22442,26833,23195,13477,11646,12217,14858,10942,12422,10027,11389,5557,12095
SPD_0221,24641,21294,27525,28163,99349,71210,92394,139951,45383,33970,34719,38924,32208,33093,37955,26783,11960,42829
ccnE,1365,825,1170,915,2046,1594,2405,2197,867,595,703,1217,1232,406,1075,616,293,1135
SPD_0222,11899,11379,9825,9919,21568,16909,24616,34363,12943,10658,11337,14108,11202,10931,11518,8617,4037,14331
SPD_0223,64,54,32,37,226,198,157,183,139,115,150,195,196,95,151,38,33,106
SPD_0224,33,23,20,14,110,120,90,92,67,82,132,114,99,61,87,34,9,51
SPD_0225,45,35,26,37,179,173,96,110,96,144,116,156,117,93,118,39,25,80
SPD_0226,12,14,9,6,62,57,33,29,40,55,89,105,67,60,47,21,14,48
SPD_0227,18,14,9,10,84,61,39,44,37,72,33,67,55,39,39,15,18,39
SPD_0228,130,119,106,114,1475,1506,1662,1349,562,675,1177,1103,638,475,507,380,186,389
SPD_0229,427,371,329,282,4421,4449,4585,3318,1509,1795,2812,3209,1799,1422,1461,1057,613,1125
SPD_0230,1399,1187,963,812,5284,5212,4746,3688,3138,3233,2350,3112,3136,2338,2017,3716,1750,3403
SPD_0231,2249,1843,1362,1340,8594,8261,7071,5389,5556,5649,4524,5281,4744,3684,3175,5110,2798,4387
SPD_0232,84,53,50,24,261,297,327,292,182,140,274,391,134,262,241,127,71,269
SPD_0233,88,64,73,51,333,330,395,379,187,198,292,369,216,245,278,102,57,257
SPD_0234,641,492,413,389,2424,2150,2863,3203,1435,1250,2442,2830,1337,1747,1776,590,294,1356
pfl,1739,1288,1101,1114,6769,5929,7000,6914,3995,3546,6148,7375,3545,4290,4216,1579,698,3167
talC,410,344,279,281,1649,1509,1703,1692,1109,1001,1431,1691,843,1115,1091,329,135,764
gldA,951,782,686,670,3851,3310,3609,3806,2298,1904,3057,3774,1834,2264,2275,757,329,1591
leuS,58312,53607,34235,34928,92716,73886,84344,116946,55272,44329,41185,50153,39913,38992,47138,28221,11880,49579
SPD_0239,2211,1986,1539,1668,5188,4020,4412,5863,2863,2355,1610,2214,2274,1834,2011,1758,772,2338
