Gene_ID,WT_0_01,WT_0_02,CP_0_04,CP_0_05,WT_05_07,WT_05_08,CP_05_11,CP_05_12,WT_1_13,WT_1_14,CP_1_16,CP_1_17,WT_2_20,CP_2_22,CP_2_23,WT_2_25,WT_4_16,CP_4_28
SPD_0499,0,1,5,1,1,0,0,1,0,0,0,0,0,2,0,0,2,1
SPD_0500,2646,2040,2269,2442,6359,5037,9799,11354,4103,3446,4587,5514,3936,3936,4161,2256,1029,3326
F19,74,51,72,41,140,113,278,216,85,78,223,258,137,115,74,10,22,48
licT,889,644,437,416,985,983,1519,1204,907,854,974,1137,629,687,662,414,174,310
SPD_0502,2066,1655,1086,929,2599,2636,3216,3182,2667,2753,2472,3042,1311,2118,1893,784,463,1023
bglA-2,2456,1971,1348,1224,3193,3183,3167,2762,3364,3228,3169,3728,1639,2182,2068,1113,502,1236
srn157,603,598,295,299,979,1127,1379,575,886,979,650,649,554,1006,711,852,409,791
pheS,5635,5184,2974,2680,5323,4093,3420,4928,4926,3257,1646,1920,3172,2301,2750,2700,1317,3709
SPD_0505,5540,4744,3487,3369,4101,3797,2664,2634,4367,3576,1524,1639,2853,1848,2144,2619,1143,2732
pheT,25811,24548,14976,15081,15143,12770,9115,13241,15477,11749,4912,6158,9070,5710,7542,8600,3763,10290
SPD_0507,21354,18115,13802,12992,13145,13523,13993,10292,10456,9822,6791,7672,7958,9128,9877,12450,5737,16948
SPD_0508,157,124,110,94,46,47,28,32,51,58,50,48,31,49,66,55,32,64
SPD_0509,117,91,56,56,17,21,10,21,40,20,12,32,24,16,30,15,5,36
metE,1076,972,581,557,2517,2118,2905,3667,1642,1499,1016,1255,2162,1057,1365,2170,974,1883
metF,544,459,252,275,1074,925,1379,1678,666,504,499,581,807,439,553,737,356,748
pnp,67542,59971,41959,39884,50369,39922,38995,51137,35522,26965,19260,21697,25182,23970,28594,25950,11711,42459
cysE,10848,11028,6156,6118,9055,6433,6541,11700,5829,4722,3272,3497,3845,3143,4170,2539,1146,5099
SPD_0514,32022,26303,19392,17554,18908,16211,14701,16037,14191,12968,9077,9974,9877,8825,9888,6160,3277,11280
cysS,35675,31755,19568,19163,25392,20080,18790,25880,18176,14830,10661,12518,11257,10294,11885,7288,3619,12716
SPD_0516,7271,6710,3803,3702,5335,3918,3766,5994,3829,3033,2114,2454,2378,1964,2634,1333,528,2634
SPD_0517,26125,22599,14989,14153,16442,13798,12703,17366,12586,10920,7663,9022,7226,7076,7991,5309,2319,8553
SPD_0518,3067,2164,1827,1488,221,193,92,92,282,363,95,129,224,211,190,294,116,317
SPD_0519,1067,848,419,335,53,58,38,23,38,62,17,19,39,38,42,41,8,68
SPD_0520,810,736,420,431,45,33,22,35,42,59,14,15,46,23,42,22,34,60
vex1,4224,3285,2003,1744,1062,816,1346,1610,762,702,872,944,1178,612,718,859,389,1029
vex2,1982,1547,945,837,555,500,858,938,403,456,481,547,507,317,320,360,135,334
vex3,3174,3059,1546,1513,1111,963,1828,2331,734,875,1047,1167,852,584,716,314,131,485
vncR,2179,1859,1450,1421,1566,1295,1797,2328,1163,916,803,999,791,974,1085,826,361,1414
vncS,6289,5294,4066,4072,4008,3303,4457,5434,3219,2593,2029,2314,2140,2371,2577,2099,1099,3493
fba,175975,152671,131158,126211,179978,144015,120058,156687,153306,118514,51207,60601,154547,92321,107072,159435,69684,202001
SPD_0527,720,1001,300,415,4333,4436,6494,4999,2232,2727,2431,3047,2237,1688,2000,1057,524,1960
SPD_0528,345,326,190,188,2821,2977,5156,4682,1210,1171,1531,1382,1090,958,1196,465,210,587
SPD_0529,215,215,148,188,2204,2040,3911,4144,980,801,1029,1029,884,689,907,345,118,515
SPD_0530,224,230,128,146,2959,2647,5023,5200,1081,1054,1342,1388,1263,873,1138,477,222,650
SPD_0531,124,170,68,93,2515,2270,3960,3902,965,1014,1082,1090,1146,775,1021,497,305,714
recJ,20627,18005,12024,12344,17797,14530,21394,27501,13082,10556,8310,9277,9869,9064,9872,11715,5627,16009
SPD_0533,60758,56960,32696,33430,79281,64727,96222,134654,50583,43959,43786,52415,45862,37113,41770,34193,16032,49277
estA,13804,12467,7884,7835,10566,8660,8096,10296,9553,8750,6260,7739,9975,6968,8504,5752,3018,9017
murM/fibA,28938,23629,18056,17395,27532,24732,23594,23183,26545,25220,19023,23584,26140,21354,20861,17328,7990,23819
fibB,30049,24892,21891,20650,22926,20554,18327,16768,23330,23555,15995,19800,22524,17063,16261,16506,8247,18876
SPD_0537,17100,16149,9143,9522,2094,1574,1026,1488,2442,2564,1165,1739,4774,1380,1743,2848,1416,3343
uvrC,8539,7705,5681,5788,8018,6352,10063,12704,6458,5527,4719,5145,6654,5145,6262,5086,2217,8315
